item,cate
1753,0
1754,0
1755,7
1756,2
1757,1
1758,0
1759,1
1760,2
1761,1
1762,0
1763,4
1764,1
1765,1
1766,0
1767,0
1768,0
1769,1
1770,1
1771,0
1772,0
1773,2
1774,1
1775,1
1776,8
1777,3
1778,1
1779,0
1780,4
1781,2
1782,0
1783,2
1784,1
1785,2
1786,2
1787,1
1788,0
1789,2
1790,0
1791,4
1792,2
1793,2
1794,2
1795,2
1796,1
1797,1
1798,6
1799,2
1800,0
1801,2
1802,0
1803,3
1804,0
1805,0
1806,4
1807,9
1808,5
1809,0
1810,0
1811,0
1812,0
1813,1
1814,0
1815,0
1816,0
1817,4
1818,0
1819,2
1820,2
1821,3
1822,3
1823,3
1824,1
1825,0
1826,0
1827,2
1828,1
1829,0
1830,3
1831,2
1832,0
1833,2
1834,5
1835,3
1836,0
1837,3
1838,2
1839,1
1840,5
1841,0
1842,0
1843,0
1844,5
1845,5
1846,4
1847,1
1848,5
1849,2
1850,1
1851,5
1852,3
1853,0
1854,5
1855,2
1856,0
1857,5
1858,1
1859,0
1860,1
1861,5
1862,0
1863,1
1864,5
1865,6
1866,4
1867,3
1868,5
1869,0
1870,1
1871,6
1872,0
1873,7
1874,0
1875,3
1876,0
1877,0
1878,2
1879,0
1880,1
1881,5
1882,0
1883,3
1884,0
1885,0
1886,4
1887,2
1888,0
1889,0
1890,0
1891,1
1892,5
1893,2
1894,1
1895,2
1896,0
1897,0
1898,0
1899,0
1900,2
1901,0
1902,5
1903,1
1904,0
1905,7
1906,3
1907,0
1908,2
1909,1
1910,0
1911,0
1912,2
1913,2
1914,2
1915,9
1916,2
1917,1
1918,1
1919,1
1920,1
1921,1
1922,0
1923,3
1924,0
1925,1
1926,1
1927,1
1928,0
1929,1
1930,0
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,3
1938,7
1939,0
1940,0
1941,0
1942,0
1943,0
1944,2
1945,1
1946,3
1947,1
1948,0
1949,2
1950,2
1951,0
1952,1
1953,1
1954,0
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,0
1973,4
1974,2
1975,1
1976,1
1977,2
1978,1
1979,1
1980,1
1981,1
1982,1
1983,4
1984,1
1985,1
1986,1
1987,1
1988,1
1989,4
1990,1
1991,0
1992,1
1993,4
1994,0
1995,3
1996,1
1997,0
1998,15
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,4
2007,2
2008,4
2009,1
2010,1
2011,5
2012,1
2013,1
2014,1
2015,1
2016,1
2017,4
2018,1
2019,1
2020,4
2021,2
2022,1
2023,11
2024,6
2025,2
2026,4
2027,5
2028,5
2029,2
2030,2
2031,0
2032,1
2033,2
2034,6
2035,6
2036,2
2037,2
2038,6
2039,1
2040,2
2041,2
2042,2
2043,2
2044,2
2045,2
2046,2
2047,2
2048,1
2049,2
2050,6
2051,6
2052,11
2053,2
2054,1
2055,6
2056,4
2057,1
2058,12
2059,2
2060,10
2061,4
2062,2
2063,2
2064,2
2065,0
2066,2
2067,2
2068,6
2069,1
2070,2
2071,4
2072,6
2073,2
2074,4
2075,6
2076,2
2077,2
2078,0
2079,0
2080,0
2081,2
2082,0
2083,2
2084,2
2085,0
2086,2
2087,0
2088,2
2089,2
2090,3
2091,2
2092,2
2093,2
2094,0
2095,2
2096,1
2097,1
2098,0
2099,0
2100,1
2101,1
2102,1
2103,1
2104,0
2105,1
2106,0
2107,1
2108,1
2109,0
2110,0
2111,1
2112,1
2113,1
2114,1
2115,1
2116,2
2117,5
2118,0
2119,0
2120,16
2121,1
2122,0
2123,1
2124,1
2125,1
2126,1
2127,1
2128,0
2129,0
2130,1
2131,1
2132,9
2133,0
2134,3
2135,1
2136,1
2137,1
2138,1
2139,0
2140,0
2141,1
2142,0
2143,8
2144,16
2145,8
2146,1
2147,3
2148,8
2149,8
2150,0
2151,2
2152,0
2153,2
2154,0
2155,2
2156,2
2157,0
2158,7
2159,0
2160,2
2161,3
2162,0
2163,0
2164,3
2165,0
2166,3
2167,3
2168,7
2169,3
2170,0
2171,2
2172,0
2173,0
2174,2
2175,0
2176,0
2177,3
2178,0
2179,0
2180,0
2181,0
2182,0
2183,1
2184,7
2185,3
2186,6
2187,7
2188,1
2189,6
2190,0
2191,0
2192,0
2193,8
2194,0
2195,0
2196,0
2197,0
2198,2
2199,0
2200,0
2201,7
2202,0
2203,7
2204,0
2205,7
2206,3
2207,7
2208,0
2209,0
2210,0
2211,4
2212,7
2213,0
2214,0
2215,2
2216,0
2217,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,0
2224,2
2225,3
2226,7
2227,0
2228,7
2229,7
2230,0
2231,0
2232,2
2233,3
2234,7
2235,0
2236,8
2237,0
2238,0
2239,0
2240,0
2241,3
2242,6
2243,0
2244,7
2245,0
2246,7
2247,0
2248,0
2249,0
2250,6
2251,0
2252,3
2253,7
2254,5
2255,0
2256,0
2257,0
2258,2
2259,7
2260,2
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,7
2270,3
2271,0
2272,3
2273,3
2274,3
2275,0
2276,7
2277,0
2278,0
2279,3
2280,7
2281,7
2282,3
2283,0
2284,0
2285,0
2286,0
2287,0
2288,7
2289,0
2290,0
2291,2
2292,7
2293,0
2294,7
2295,0
2296,0
2297,0
2298,0
2299,0
2300,2
2301,0
2302,0
2303,0
2304,0
2305,8
2306,7
2307,7
2308,7
2309,7
2310,7
2311,6
2312,0
2313,7
2314,0
2315,0
2316,7
2317,7
2318,0
2319,0
2320,0
2321,0
2322,0
2323,2
2324,0
2325,0
2326,0
2327,0
2328,7
2329,0
2330,0
2331,0
2332,0
2333,3
2334,0
2335,2
2336,0
2337,0
2338,3
2339,0
2340,3
2341,0
2342,3
2343,7
2344,0
2345,0
2346,0
2347,0
2348,7
2349,2
2350,8
2351,0
2352,0
2353,8
2354,0
2355,0
2356,0
2357,0
2358,0
2359,7
2360,7
2361,7
2362,8
2363,0
2364,1
2365,5
2366,5
2367,0
2368,6
2369,1
2370,5
2371,0
2372,0
2373,0
2374,1
2375,1
2376,14
2377,5
2378,1
2379,4
2380,1
2381,1
2382,2
2383,2
2384,2
2385,12
2386,2
2387,0
2388,0
2389,1
2390,6
2391,2
2392,6
2393,6
2394,1
2395,6
2396,3
2397,9
2398,0
2399,0
2400,6
2401,0
2402,2
2403,5
2404,2
2405,6
2406,6
2407,6
2408,2
2409,6
2410,12
2411,5
2412,8
2413,1
2414,4
2415,0
2416,2
2417,6
2418,2
2419,0
2420,6
2421,2
2422,4
2423,6
2424,0
2425,1
2426,5
2427,0
2428,2
2429,1
2430,2
2431,1
2432,7
2433,7
2434,2
2435,5
2436,1
2437,3
2438,0
2439,1
2440,2
2441,3
2442,2
2443,2
2444,8
2445,2
2446,2
2447,2
2448,2
2449,3
2450,10
2451,3
2452,3
2453,0
2454,8
2455,0
2456,1
2457,4
2458,0
2459,3
2460,0
2461,1
2462,4
2463,0
2464,11
2465,2
2466,7
2467,2
2468,2
2469,5
2470,0
2471,2
2472,0
2473,4
2474,2
2475,1
2476,0
2477,3
2478,0
2479,2
2480,2
2481,2
2482,3
2483,0
2484,0
2485,3
2486,2
2487,2
2488,2
2489,2
2490,3
2491,0
2492,11
2493,15
2494,2
2495,1
2496,0
2497,0
2498,0
2499,1
2500,1
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,1
2508,1
2509,0
2510,0
2511,0
2512,0
2513,1
2514,0
2515,6
2516,2
2517,0
2518,9
2519,0
2520,4
2521,8
2522,3
2523,4
2524,3
2525,3
2526,2
2527,2
2528,8
2529,0
2530,1
2531,0
2532,7
2533,4
2534,1
2535,0
2536,0
2537,0
2538,3
2539,1
2540,4
2541,2
2542,3
2543,0
2544,2
2545,1
2546,3
2547,8
2548,0
2549,1
2550,1
2551,1
2552,0
2553,1
2554,1
2555,1
2556,0
2557,0
2558,2
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2568,8
2569,1
2570,0
2571,0
2572,0
2573,0
2574,2
2575,1
2576,3
2577,0
2578,0
2579,0
2580,3
2581,2
2582,0
2583,1
2584,1
2585,0
2586,0
2587,0
2588,3
2589,5
2590,1
2591,0
2592,0
2593,8
2594,5
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,5
2604,0
2605,0
2606,0
2607,0
2608,0
2609,1
2610,0
2611,0
2612,0
2613,3
2614,0
2615,0
2616,0
2617,2
2618,0
2619,0
2620,0
2621,3
2622,3
2623,0
2624,0
2625,2
2626,0
2627,2
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,2
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,2
2648,0
2649,2
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,2
2657,0
2658,0
2659,0
2660,0
2661,0
2662,1
2663,5
2664,7
2665,0
2666,0
2667,0
2668,0
2669,3
2670,0
2671,0
2672,2
2673,3
2674,0
2675,0
2676,0
2677,0
2678,8
2679,0
2680,2
2681,0
2682,1
2683,2
2684,13
2685,0
2686,2
2687,5
2688,0
2689,0
2690,0
2691,0
2692,2
2693,9
2694,0
2695,0
2696,5
2697,5
2698,2
2699,3
2700,0
2701,0
2702,0
2703,0
2704,0
2705,7
2706,0
2707,0
2708,0
2709,2
2710,2
2711,2
2712,5
2713,0
2714,3
2715,0
2716,2
2717,0
2718,0
2719,5
2720,0
2721,4
2722,8
2723,1
2724,12
2725,0
2726,1
2727,1
2728,1
2729,1
2730,1
2731,1
2732,0
2733,1
2734,0
2735,0
2736,2
2737,0
2738,1
2739,4
2740,1
2741,0
2742,1
2743,1
2744,6
2745,1
2746,0
2747,1
2748,4
2749,17
2750,0
2751,0
2752,9
2753,0
2754,6
2755,0
2756,0
2757,0
2758,0
2759,0
2760,1
2761,0
2762,2
2763,2
2764,1
2765,2
2766,7
2767,0
2768,2
2769,15
2770,2
2771,2
2772,3
2773,0
2774,2
2775,2
2776,3
2777,0
2778,2
2779,2
2780,1
2781,2
2782,3
2783,0
2784,1
2785,10
2786,2
2787,5
2788,8
2789,2
2790,1
2791,2
2792,5
2793,2
2794,2
2795,2
2796,1
2797,2
2798,1
2799,2
2800,1
2801,3
2802,1
2803,1
2804,0
2805,1
2806,0
2807,0
2808,2
2809,3
2810,1
2811,2
2812,2
2813,1
2814,3
2815,2
2816,3
2817,0
2818,1
2819,1
2820,0
2821,0
2822,11
2823,0
2824,0
2825,2
2826,0
2827,2
2828,2
2829,1
2830,0
2831,2
2832,6
2833,2
2834,6
2835,4
2836,2
2837,1
2838,1
2839,1
2840,1
2841,2
2842,1
2843,0
2844,1
2845,0
2846,14
2847,0
2848,3
2849,1
2850,1
2851,1
2852,0
2853,1
2854,0
2855,2
2856,6
2857,1
2858,2
2859,1
2860,4
2861,0
2862,0
2863,1
2864,1
2865,0
2866,7
2867,2
2868,1
2869,2
2870,10
2871,2
2872,1
2873,0
2874,0
2875,2
2876,1
2877,7
2878,4
2879,2
2880,0
2881,0
2882,2
2883,1
2884,0
2885,0
2886,4
2887,2
2888,0
2889,1
2890,0
2891,0
2892,3
2893,2
2894,0
2895,0
2896,1
2897,1
2898,1
2899,0
2900,0
2901,10
2902,10
2903,0
2904,4
2905,0
2906,0
2907,2
2908,2
2909,13
2910,2
2911,6
2912,6
2913,0
2914,0
2915,1
2916,0
2917,0
2918,3
2919,0
2920,1
2921,7
2922,0
2923,9
2924,7
2925,1
2926,0
2927,2
2928,4
2929,1
2930,0
2931,0
2932,0
2933,0
2934,12
2935,0
2936,0
2937,3
2938,0
2939,1
2940,0
2941,1
2942,5
2943,1
2944,1
2945,1
2946,5
2947,0
2948,5
2949,8
2950,3
2951,2
2952,2
2953,3
2954,1
2955,8
2956,0
2957,0
2958,0
2959,0
2960,0
2961,0
2962,0
2963,4
2964,0
2965,0
2966,1
2967,3
2968,7
2969,5
2970,5
2971,5
2972,1
2973,0
2974,1
2975,1
2976,1
2977,1
2978,1
2979,1
2980,2
2981,0
2982,0
2983,2
2984,0
2985,10
2986,3
2987,1
2988,0
2989,1
2990,1
2991,1
2992,4
2993,17
2994,0
2995,0
2996,4
2997,0
